,dn,yard,a,n_yard,p
176,1,3,1,0,0.0
177,1,3,1,1,0.0
178,1,3,1,2,0.0
179,1,3,1,3,0.4173624279856913
180,1,3,1,4,0.09482668674077693
181,1,3,1,5,0.09433630999725784
182,1,3,1,6,0.08852661052482402
183,1,3,1,7,0.07836398270997325
184,1,3,1,8,0.06543489224969612
185,1,3,1,9,0.051541533251211025
186,1,3,1,10,0.10960755654056953
187,1,3,2,0,0.0
188,1,3,2,1,0.0
189,1,3,2,2,0.0
190,1,3,2,3,0.3155744210734427
191,1,3,2,4,0.06355704977542576
192,1,3,2,5,0.06729291722498898
193,1,3,2,6,0.06907387990771685
194,1,3,2,7,0.06873796833128665
195,1,3,2,8,0.06631593039561678
196,1,3,2,9,0.06202658618632961
197,1,3,2,10,0.2874212471051927
198,1,3,3,0,0.0
199,1,3,3,1,0.0
200,1,3,3,2,0.0
201,1,3,3,3,0.26351653486016713
202,1,3,3,4,0.039743859412645466
203,1,3,3,5,0.04250222332178494
204,1,3,3,6,0.04477334084562057
205,1,3,3,7,0.046461423017732484
206,1,3,3,8,0.04749303582363851
207,1,3,3,9,0.047822396076404095
208,1,3,3,10,0.4676871866420068
209,1,3,4,0,0.0
210,1,3,4,1,0.0
211,1,3,4,2,0.0
212,1,3,4,3,0.2692041417425918
213,1,3,4,4,0.027289484425024157
214,1,3,4,5,0.028715470289578382
215,1,3,4,6,0.029989486897989526
216,1,3,4,7,0.031085192353308255
217,1,3,4,8,0.031979278548147805
218,1,3,4,9,0.03265229423904498
219,1,3,4,10,0.5490846515043151
220,1,4,0,0,0.0
221,1,4,0,1,0.0
222,1,4,0,2,0.0
223,1,4,0,3,0.0
224,1,4,0,4,0.40657938045149195
225,1,4,0,5,0.12509035759247816
226,1,4,0,6,0.12228935959242149
227,1,4,0,7,0.10804709329409878
228,1,4,0,8,0.08627796504699681
229,1,4,0,9,0.062266765569690796
230,1,4,0,10,0.08944907845282202
231,1,4,1,0,0.0
232,1,4,1,1,0.0
233,1,4,1,2,0.0
234,1,4,1,3,0.0
235,1,4,1,4,0.45338459979301743
236,1,4,1,5,0.09561493217015088
237,1,4,1,6,0.09299554813508382
238,1,4,1,7,0.08528411035018757
239,1,4,1,8,0.07374714183745235
240,1,4,1,9,0.06013075740341178
241,1,4,1,10,0.13884291031069618
242,1,4,2,0,0.0
243,1,4,2,1,0.0
244,1,4,2,2,0.0
245,1,4,2,3,0.0
246,1,4,2,4,0.32666322128220576
247,1,4,2,5,0.06409524154651497
248,1,4,2,6,0.06749401061026072
249,1,4,2,7,0.06891651901705598
250,1,4,2,8,0.06823381119402316
251,1,4,2,9,0.06550797817715193
252,1,4,2,10,0.3390892181727875
253,1,4,3,0,0.0
254,1,4,3,1,0.0
255,1,4,3,2,0.0
256,1,4,3,3,0.0
257,1,4,3,4,0.26723175703638763
258,1,4,3,5,0.04001690338818287
259,1,4,3,6,0.042758837407605776
260,1,4,3,7,0.045001413773110344
261,1,4,3,8,0.04664908346030894
262,1,4,3,9,0.04762949466245425
263,1,4,3,10,0.5107125102719502
264,1,4,4,0,0.0
265,1,4,4,1,0.0
266,1,4,4,2,0.0
267,1,4,4,3,0.0
268,1,4,4,4,0.27453670426460236
269,1,4,4,5,0.028152952567116307
270,1,4,4,6,0.029630140869851884
271,1,4,4,7,0.030938142805286117
272,1,4,4,8,0.0320482481199143
273,1,4,4,9,0.03293539919374239
274,1,4,4,10,0.5717584121794866
275,1,5,0,0,0.0
276,1,5,0,1,0.0
277,1,5,0,2,0.0
278,1,5,0,3,0.0
